,date,rtgs_vol,rtgs_val,neft_vol,neft_val,aeps_vol,aeps_val,upi_vol,upi_val,imps_vol,imps_val,nach_credit_vol,nach_credit_val,nach_debit_vol,nach_debit_val,netc_vol,netc_val,bbps_vol,bbps_val,cts_vol,cts_val,nfs_through_atms_vol,nfs_through_atms_val,aeps_through_micro_atms_or_bcs_vol,aeps_through_micro_atms_or_bcs_val,credit_card_at_pos_and_e_commerce_vol,credit_card_at_pos_and_e_commerce_val,debit_card_at_pos_and_e_commerce_vol,debit_card_at_pos_and_e_commerce_val,ppis_card_at_pos_and_e_commerce_vol,ppis_card_at_pos_and_e_commerce_val,government_securities_clearing_vol,government_securities_clearing_val,forex_clearing_vol,forex_clearing_val,rupee_derivatives_vol,rupee_derivatives_val,credit_card_at_pos_vol,credit_card_at_pos_val,credit_card_at_e_commerce_vol,credit_card_at_e_commerce_val,debit_card_at_pos_vol,debit_card_at_pos_val,debit_card_at_e_commerce_vol,debit_card_at_e_commerce_val,ppis_card_at_pos_vol,ppis_card_at_pos_val,ppis_card_at_e_commerce_vol,ppis_card_at_e_commerce_val
19,20-06-2020,3.87,82992.86,53.97,43978.1,0.48,7.37,437.75,8280.13,64.79,6129.25,64.09,3046.25,29.76,2931.04,28.49,53.28,5.93,98.51,18.74,15216.63,93.75,3684.4,27.32,575.71,,,,,,,,,,,,,,,,,,,,,,,,
20,21-06-2020,,,6.06,2093.33,0.33,4.9,356.53,4938.44,45.95,3314.19,,,,,22.74,49.86,4.65,63.48,,,67.33,2262.91,17.24,349.43,,,,,,,,,,,,,,,,,,,,,,,,
21,22-06-2020,5.14,392434.04,95.5,73128.6,0.51,7.98,459.55,9375.2,68.48,7111.42,164.62,3777.18,19.53,1844.5,27.1,47.92,6.63,114.79,20.37,15267.04,97.66,3843.19,31.23,663.29,,,,,,,,,,,,,,,,,,,,,,,,
22,23-06-2020,4.79,330592.05,94.78,95774.01,0.57,8.77,452.99,8650.02,66.62,6780.85,98.19,3307.05,9.37,1374.18,27.75,50.83,6.34,108.36,19.97,15936.12,93.53,3651.49,31.32,668.04,,,,,,,,,,,,,,,,,,,,,,,,
23,24-06-2020,4.8,326049.65,71.52,68814.85,0.57,8.68,477.54,8942.45,65.81,6840.45,85.42,2642.41,9.53,1073.74,28.76,52.54,6.27,110.47,19.36,16881.89,93.74,3654.83,30.02,661.93,,,,,,,,,,,,,,,,,,,,,,,,
24,25-06-2020,4.74,331568.47,66.47,86276.49,0.56,8.71,456.49,8531.52,66.16,6927.48,175.59,5413.91,23.92,2028.04,28.57,53.16,6.04,115.28,19.83,16986.62,88.94,3479.39,28.25,647.98,,,,,,,,,,,,,,,,,,,,,,,,
25,26-06-2020,5.29,425126.22,71.37,89606.85,0.58,8.95,455.45,8660.95,66.32,6910.38,55,2991.67,14.58,1909.37,29.4,53.82,5.61,108.36,19.54,16727.35,92.29,3618.91,28.66,661.34,,,,,,,,,,,,,,,,,,,,,,,,
26,27-06-2020,,,13.77,6805.17,0.52,8.33,436.26,7586.08,62.86,5836.21,,,,,29.17,53.85,4.93,81.78,,,90.47,3525.75,28.11,634.87,,,,,,,,,,,,,,,,,,,,,,,,
27,28-06-2020,,,6.58,2336.18,0.3,4.52,397.91,5544.8,49.17,3612.89,,,,,27.19,52.65,3.89,60.37,,,73.02,2491.09,16.98,364.95,,,,,,,,,,,,,,,,,,,,,,,,
28,29-06-2020,7.01,584660.83,109.64,129714.54,0.52,8.56,430.17,8825.17,72.11,8319.76,196.51,9710.78,61.58,2989.02,28.01,48.86,5.98,136.04,28.84,23284.53,94.89,3877.57,28.18,655.14,,,,,,,,,,,,,,,,,,,,,,,,
29,30-06-2020,6.14,701509.84,143.17,149509.51,0.43,7.46,505.09,11811.09,83.56,10144,120.27,10462.82,20.17,1695.21,28.37,51.53,6.24,135,24.23,19341.41,102.06,4410.74,28.09,658.83,,,,,,,,,,,,,,,,,,,,,,,,
30,01-07-2020,4.91,417735.95,173,96466.52,0.57,9.49,515.18,11611.71,90.45,10474.88,120.04,5953.11,18.49,2498.3,28.76,53.51,5.49,99.45,21.43,19615.57,111.03,5051.52,27.47,685.77,,,,,,,,,,,,,,,,,,,,,,,,
31,02-07-2020,4.69,320662.55,100.44,74699.45,0.61,9.9,481.96,10494.44,83.03,9342.1,87.54,4215.67,62.02,3255.35,28.66,53.67,5.38,95.7,20.29,18585.69,108.64,4917.42,29.74,730.51,,,,,,,,,,,,,,,,,,,,,,,,
32,03-07-2020,4.69,298605.35,108.03,71947.54,0.59,9.74,507.41,10735.45,76.91,8293.17,66.85,6261.83,49.79,2830.92,29.21,53.59,5.61,100.32,19.58,18326.45,103.23,4574.7,28.45,691.09,,,,,,,,,,,,,,,,,,,,,,,,
33,04-07-2020,3.8,95452.81,70.06,48814.68,0.56,9.06,498.77,10114.58,76.41,7785.95,168.08,5443.94,28.53,3253.66,29.21,53.14,5.36,87.6,18.6,14858.57,105.09,4597.66,27.37,652.57,,,,,,,,,,,,,,,,,,,,,,,,
34,05-07-2020,,,9.74,2897.45,0.3,4.48,432.52,7115.05,55.19,4615.17,,,,,24.63,50.45,4.45,61.32,,,70.98,2790.42,17.31,376.34,,,,,,,,,,,,,,,,,,,,,,,,
35,06-07-2020,5.23,393151.54,109.29,97039.58,0.6,9.55,503.34,10863,82.24,8622.13,65.56,2523.74,98.6,10137.16,26.99,47.8,6.17,104.29,22.06,16756.08,105.12,4574.37,30.28,713.78,,,,,,,,,,,,,,,,,,,,,,,,
36,07-07-2020,4.94,347459.27,117.57,75837.34,0.52,8.41,496.02,10438.01,79.28,8374.16,62.88,3733.07,56.67,4380,27.54,50.24,6.12,100.03,22.07,17262.46,102.75,4476.89,28.09,662.93,,,,,,,,,,,,,,,,,,,,,,,,
37,08-07-2020,4.75,314249.02,111.47,73250.39,0.61,9.26,509.11,10642.44,77.06,8091.53,50.43,3432.55,30.35,1930.21,26.73,48.84,6.32,104.71,21.41,16771.69,107.32,4702.73,28.59,674.96,,,,,,,,,,,,,,,,,,,,,,,,
38,09-07-2020,4.74,343721.64,100.01,72248.89,0.53,8.35,485.14,10059.96,74.58,7859.37,122.56,4702.08,12.14,1366.4,30.17,56.52,6.49,110.56,20.68,16590.58,103.6,4490.87,26.43,622.61,,,,,,,,,,,,,,,,,,,,,,,,
39,10-07-2020,5.2,389681.83,102.36,86573.94,0.57,8.91,451.5,9324.23,74.82,8028.18,42.89,3159.9,82.56,8772.27,29.76,54.28,6.09,104,22.42,17692.52,106.92,4583.66,27.19,639.46,,,,,,,,,,,,,,,,,,,,,,,,
40,11-07-2020,,,14.27,6074.97,0.5,7.67,500.95,9024.34,68.01,6185.32,,,,,27.82,52.54,6.67,104.02,,,95.77,3972.5,22.14,524.72,,,,,,,,,,,,,,,,,,,,,,,,
41,12-07-2020,,,7.29,2357.11,0.31,4.63,434.05,6282.22,49.4,3658.08,,,,,22.77,48.38,6.01,83.79,,,61.49,2310,14.3,317.21,,,,,,,,,,,,,,,,,,,,,,,,
42,13-07-2020,6.45,449931.93,113.44,88295.77,0.48,7.89,518.52,10469.79,77.46,8056.36,106.96,3874.51,23.81,2777.55,27.11,47.01,8.51,158.94,28.46,21147.95,99.16,4173.68,25.7,606.1,,,,,,,,,,,,,,,,,,,,,,,,
43,14-07-2020,5.21,331781.7,85.14,68689.01,0.65,9.94,519.6,10312.04,74.8,7839.39,165.42,4988.37,17.56,1891.92,27.81,50.25,8.22,152.84,25.6,19089.76,99.31,4188.85,27.08,639.17,,,,,,,,,,,,,,,,,,,,,,,,
44,15-07-2020,4.97,332465.97,86.08,80746.8,0.66,9.83,499.18,10118.86,72.43,7711.74,62.19,3569.37,73.17,5184.39,27.89,51.67,8.48,164.86,22.91,19321.42,95.15,3961.97,27.7,640.47,,,,,,,,,,,,,,,,,,,,,,,,
45,16-07-2020,4.67,326097.82,84.26,69716.47,0.65,9.92,479.81,9451.87,69.47,7083.76,106.05,8091.92,8.21,1075.83,27.87,53.42,7.84,149.76,20.58,16291.1,88.25,3612.93,25.78,596.21,,,,,,,,,,,,,,,,,,,,,,,,
46,17-07-2020,4.58,304494.65,76.66,74411.4,0.61,9.24,472.6,9034.77,68.6,7062.31,82.62,3898.89,11.01,1104.96,28.61,54.33,8,145.66,19.23,15784,89.38,3589.93,25.83,599.59,,,,,,,,,,,,,,,,,,,,,,,,
47,18-07-2020,3.37,80898.98,59.85,40256.32,0.51,7.75,462.3,8380.13,62.86,5988.41,59.73,1909.09,13.47,1428.97,27.66,53.96,7.05,129.2,15.78,12306.82,84.93,3338.88,21.49,503.66,,,,,,,,,,,,,,,,,,,,,,,,
48,19-07-2020,,,6.08,2343.16,0.35,5.04,410.87,5766.61,47.37,3415.28,,,,,23.06,50.35,5.59,86.11,,,59.47,2084.74,13.47,299.88,,,,,,,,,,,,,,,,,,,,,,,,
49,20-07-2020,5.21,345326.92,74.32,70357.76,0.6,9.04,461.25,8829,72.5,7248.83,60.06,1367.7,22.59,2475.98,25.67,47.62,8.16,171.62,20.74,15175.37,91.46,3617.8,25.07,581.65,,,,,,,,,,,,,,,,,,,,,,,,
50,21-07-2020,4.8,300956.31,66.36,59734.09,0.58,8.92,437.49,8301.25,70.65,7070.64,59.99,2487.64,40.14,1547.76,27.52,51.87,7.75,148.54,20.65,16843.45,86.5,3431.82,23.49,549.09,,,,,,,,,,,,,,,,,,,,,,,,
51,22-07-2020,4.69,307147.78,68.65,62003.01,0.54,8.73,496.81,9735.93,71.29,7124.26,89.33,2401.29,18.36,1503.05,28.93,53.53,7.7,153.12,19.53,16023.64,89.81,3541.99,24.49,568.34,,,,,,,,,,,,,,,,,,,,,,,,
52,23-07-2020,4.46,310965.11,63.87,67317.4,0.52,7.97,470.34,8878.82,69.01,6874.02,50.14,2869.98,15.61,918.93,29.18,55.13,7.31,146.39,18.15,15038.03,81.02,3184.41,21.54,502.76,,,,,,,,,,,,,,,,,,,,,,,,
53,24-07-2020,5.27,319243.67,78.16,79211.52,0.58,8.66,483.32,9348.16,71.25,7238.9,46.06,3410.69,14.01,1369.27,30.4,56.23,6.81,142.3,19.32,16641.71,88.17,3453.29,23.26,534.92,,,,,,,,,,,,,,,,,,,,,,,,
54,25-07-2020,,,13.65,6554.57,0.41,6.51,466.6,7787.59,64.02,5730.15,,,,,28.73,54.35,5.43,101.01,,,75.45,2878.4,16.46,388.44,,,,,,,,,,,,,,,,,,,,,,,,
55,26-07-2020,,,7.74,2268.57,0.29,4.31,414.17,5659.17,47.71,3467.98,,,,,23.93,50.03,4.41,70.27,,,56.61,1990.82,11.98,269.49,,,,,,,,,,,,,,,,,,,,,,,,
56,27-07-2020,6.57,360578.09,88.85,102496.03,0.52,8.41,501.87,9884.21,75.23,7929.13,142.93,4175.06,21.57,2371.41,27.97,49.13,6.85,155.69,28.73,21941.86,92.04,3709.19,22.01,529.2,,,,,,,,,,,,,,,,,,,,,,,,
57,28-07-2020,5.51,334753.9,83.86,78909.27,0.59,9.14,497.54,9580.56,74.46,7873.17,150.44,4898.43,56.15,2361.99,29.04,52.76,6.42,136.02,23.92,20639.27,86.04,3501.95,22.34,537.75,,,,,,,,,,,,,,,,,,,,,,,,
58,29-07-2020,4.96,457537.94,66.68,74219.23,0.59,9.17,488.78,9301.61,72.92,7737.04,103.7,5285.23,11.14,1556.19,30.05,55.24,5.59,114.6,20.07,16854.78,86.11,3482.87,23.76,555.08,,,,,,,,,,,,,,,,,,,,,,,,
59,30-07-2020,5.47,391342.59,98.59,103059.18,0.63,9.67,525.93,10592.09,80.96,8745.55,60.64,4330.44,5.46,861.61,30.78,56.95,5.92,118.07,20.99,17873.16,98.07,4067.45,26.59,621.1,,,,,,,,,,,,,,,,,,,,,,,,
60,31-07-2020,5.64,461035.74,155.29,124315.98,0.74,11.21,550.61,12399.97,90.62,10248.32,102.89,10952.22,9.66,1229.34,31.79,56.67,5.37,106.61,19.04,16367.44,110.19,4872.92,28,653.65,,,,,,,,,,,,,,,,,,,,,,,,
61,01-08-2020,,,55.29,20114.02,0.57,8.52,554.43,10981.35,84.69,8404.61,,,,,29.42,53.14,5.08,85.18,,,104.29,4612.22,23.41,583.7,,,,,,,,,,,,,,,,,,,,,,,,
62,02-08-2020,,,10.99,3078.99,0.5,6.68,501.86,8082.04,65.67,5347.97,,,,,25.19,47.91,4.27,64.88,,,82.4,3270.73,21.5,484.97,,,,,,,,,,,,,,,,,,,,,,,,
63,03-08-2020,4.09,319623.96,137.34,84243.92,0.4,6.11,508.98,9804.57,81.23,8289.47,181.6,5668.48,102.08,6137.85,27.53,45.19,4.86,82.83,18.38,15322.81,104.45,4226.64,23.2,530.45,,,,,,,,,,,,,,,,,,,,,,,,
